label	name	phylum
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Ruegeria__Ruegeria_sp--MH807598.1.870	Ruegeria_sp	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Ruegeria__Ruegeria_sp_S4732--FJ460050.1.1355	Ruegeria_sp_S4732	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Sagittula__Sagittula_marina--HQ336489.1.1376	Sagittula_marina	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Sulfitobacter__Sulfitobacter_sp_NF1_26--FJ196014.1.1427	Sulfitobacter_sp_NF1_26	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Tateyamaria__Tateyamaria_sp_KS9_11--FJ889554.1.1426	Tateyamaria_sp_KS9_11	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Thalassobius__uncultured_bacterium--EF646118.1.1424	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__uncultured__uncultured_bacterium--AB630741.1.1382	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rickettsiales__Candidatus_Midichloriaceae__Candidatus_Aquarickettsia__Candidatus_Aquarickettsia_rohweri--MT544612	Candidatus_Aquarickettsia_rohweri	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rickettsiales__Rickettsiaceae__Rickettsia__Rickettsia_prowazekii--M21789.1.1508	Rickettsia_prowazekii	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rickettsiales__Rickettsiaceae__uncultured__uncultured_bacterium--EU799164.1.1464	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rickettsiales__SAR116_clade__uncultured_bacterium--EU799208.1.1446	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__SAR11_clade__Surface_1__Candidatus_Pelagibacter__Candidatus_Pelagibacter_ubique_HTCC1062--CP000084.511358.512831	Candidatus_Pelagibacter_ubique_HTCC1062	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__SAR11_clade__Surface_2__uncultured_bacterium--EU804903.1.1438	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__SAR11_clade__Surface_4__uncultured_bacterium--JQ678535.1.1449	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__SB1_18__uncultured_bacterium--JQ712109.1.1464	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales__Erythrobacteraceae__Erythrobacter__uncultured_bacterium--EF574477.1.1452	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__Parasphingopyxis__Sphingomonadaceae_bacterium_BL108--HM100718.1.1392	Sphingomonadaceae_bacterium_BL108	Proteobacteria
Bacteria__Proteobacteria__Betaproteobacteria__Burkholderiales__Burkholderiaceae__Burkholderia__Burkholderia_cepacia--U96927.1.1610	Burkholderia_cepacia	Proteobacteria
Bacteria__Proteobacteria__Betaproteobacteria__Burkholderiales__Burkholderiaceae__Limnobacter__uncultured_organism--HQ773924.1.1441	uncultured_organism	Proteobacteria
Bacteria__Proteobacteria__Betaproteobacteria__Burkholderiales__Burkholderiaceae__Ralstonia__Ralstonia_pickettii--AY741342.1.1491	Ralstonia_pickettii	Proteobacteria
Bacteria__Proteobacteria__Betaproteobacteria__Burkholderiales__Comamonadaceae__Acidovorax__Acidovorax_facilis--AF078765.1.1511	Acidovorax_facilis	Proteobacteria
Bacteria__Proteobacteria__Betaproteobacteria__Burkholderiales__Comamonadaceae__Polaromonas__Polaromonas_vacuolata--U14585.1.1454	Polaromonas_vacuolata	Proteobacteria
Bacteria__Proteobacteria__Betaproteobacteria__Hydrogenophilales__Hydrogenophilaceae__Thiobacillus__uncultured_bacterium--EU799924.1.1501	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Betaproteobacteria__Methylophilales__Methylophilaceae__Methylobacillus__Methylobacillus_glycogenes--FR733701.1.1532	Methylobacillus_glycogenes	Proteobacteria
Bacteria__Proteobacteria__Betaproteobacteria__Methylophilales__Methylophilaceae__OM43_clade__uncultured_bacterium--EU799255.1.1506	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Deltaproteobacteria__Bdellovibrionales__Bdellovibrionaceae__Bdellovibrio__Bdellovibrio_bacteriovorus--AJ292759.1.1334	Bdellovibrio_bacteriovorus	Proteobacteria
