accession	taxid
HQ687087	682795
HQ730135	948458
HQ783234	155900
HQ833040	980519
HQ860485	77133
HQ876033	36914
HQ890464	1051646
HQ908675	584605
JAFY01000005	1304874
JAGL01000083	935261
JDFY01000001	2731756
JF304641	1313304
JF320723	77133
JF421969	1073996
JF489961	2081491
JF509453	1004781
JF775510	1090043
JF789589	183760
JF979130	1048396
JF979273	77133
JHZX01000001	1392490
JMFO01000010	1455061
JMIH01000044	1048983
JMIY01000002	1392998
JN038877	77133
JN091913	77133
JN107635	1078050
JN175329	41202
JN175334	927
JN175338	83655
JN206648	376171
JN474124	155900
JN558651	1076926
JN571747	40324
JN662465	46206
JN672497	77133
JN703378	1349822
JN831264	129975
JN837493	1118060
JN867363	1104747
JN867415	77133
JN940952	318718
JN941111	36911
JN979554	1126952
JNBR01001696	1202772
JOMH01000001	1415779
JPRS01000598	1529318
JQ087393	34105
JQ195843	77133
JQ226617	56763
JQ287479	77133
JQ292917	1191523
JQ316675	77133
JQ327964	291430
JQ345500	1129897
JQ352762	1150368
JQ426323	77133
JQ448776	77133
JQ516457	91750
JQ663917	696485
JQ698923	45786
JQ698935	5606
JQ775342	197516
JQ807811	1178825
JQEY01000008	1530186
JQKP01000002	1485544
JQLW01000012	1485545
JRFF01000022	1541960
JSAF02003852	9606
JTLI01000095	1339239
JWKV01000003	1579374
JX000728	115547
JX010948	144185
JX101690	1211844
JX105677	77133
JX120421	77133
JX131369	1029756
JX221735	77133
JX222600	77133
JX310203	1211136
JX392051	1228055
JX412111	1072685
JX424771	1232430
JX458465	1341520
JX495403	5865
JX968034	155892
JYIM01000321	1538547
KC005305	1267423
KC109787	28077
KC139247	39152
KC160689	1277115
KC160729	1277067
KC160880	1277032
KC191774	77133
KC433554	1277256
KC465685	77133
KC476292	1296416
KC493561	1303026
KC554184	77133
KC631812	1304888
KC990413	174293
KC990415	174293
KC990432	174293
KC990435	460511
KF481682	1379270
KF667495	1427536
KF798602	77133
KF924609	561184
KF952247	41900
KJ757052	100272
KJ763355	100272
KJ816860	1520893
KJ877525	77133
KJ882222	115547
KJ955688	282196
KM200555	171953
KM200559	412392
KM374763	83615
KM820506	77133
KM823734	77133
KP277099	1634059
KP308705	115547
KP308716	115547
KP308719	115547
KP308748	115547
KP308750	115547
KP861849	29288
KR029273	1718145
KR493097	1652022
KT731151	1716619
KU868083	77133
KU868084	77133
KU868085	77133
KU868086	77133
KU868087	77133
KU868088	77133
KU868089	77133
KU868090	77133
KU868091	77133
KU868093	77133
KU868097	77133
KU868098	77133
KU868099	77133
KU868100	77133
KU868105	77133
KU955357	53249
KU978252	77133
KU978255	77133
KX123309	1620412
KX123350	1618563
KX123359	1618553
KX123363	1618407
KX123372	1618425
KX123375	1618422
KX123380	1618662
KX123385	1619038
KX123387	1618356
KX123388	1618606
KX123391	1618615
KX123395	1618389
KX123399	1618360
KX123401	1618814
KX123409	1618909
KX123415	1618554
KX123418	1618844
KX123419	1618550
KX123448	1618865
KX123450	1618333
KX123456	1618712
KX123463	1618760
KX123464	1618608
KX123468	1618630
KX123471	1618464
KX123472	1618334
KX123475	1618919
KX123482	1618625
KX123483	1619010
KX123489	1619095
KX123493	1618837
KX123508	1618805
KX123509	1618434
KX123512	1618478
KX123513	1619036
KX123514	1618583
KX123515	1619004
KX123523	1618621
KX123529	1618483
KX123530	1618480
